department_code,department_name_en,department_name_fr,minister_name,minister_name_en,minister_name_fr,start_date,end_date,witness_id
AGC,Attorney General of Canada,Procureur général du Canada,Arif Virani,"Virani, Arif (Hon.)","Virani, Arif (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,299999.0
AGC,Attorney General of Canada,Procureur général du Canada,David Lametti,"Lametti, David (Hon.)","Lametti, David (L’hon.)",2019-01-14 10:00:01,2023-07-26 10:29:59,278945.0
AMF,Associate Minister of Finance,Ministre associée des Finances,Randy Boissonnault,"Boissonnault, Randy (Hon.)","Boissonnault, Randy (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,
AMF,Associate Minister of Finance,Ministre associée des Finances,Mona Fortier,"Fortier, Mona (Hon.)","Fortier, Mona (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253398.0
AMH,Associate Minister of Health,Ministre associée de la santé,Ya'ara Saks,"Saks, Ya'ara (Hon.)","Saks, Ya'ara (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300007.0
AMH,Associate Minister of Health,Ministre associée de la santé,Carolyn Bennett,"Bennett, Carolyn (Hon.)","Bennett, Carolyn (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278939.0
AMND,Associate Minister of National Defence,Ministre associé de la Défense nationale,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300036.0
AMND,Associate Minister of National Defence,Ministre associé de la Défense nationale,Lawrence MacAulay,"MacAulay, Lawrence (Hon.)","MacAulay, Lawrence (L’hon.)",2019-03-01 10:30:01,2023-07-26 10:29:59,246259.0
DPM,Deputy Prime Minister,Vice-première ministre,Chrystia Freeland,"Freeland, Chrystia (Hon.)","Freeland, Chrystia (L’hon.)",2019-11-20 15:00:00,2100-01-01 00:00:00,278943.0
LGHC,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,Karina Gould,"Gould, Karina (Hon.)","Gould, Karina (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,
LGHC,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,Mark Holland,"Holland, Mark (Hon.)","Holland, Mark (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,
LGHC,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,Pablo Rodriguez,"Rodriguez, Pablo (Hon.)","Rodriguez, Pablo (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253375.0
MAA,Minister of Agriculture and Agri-Food,Ministre de l'Agriculture et de l'Agroalimentaire,Lawrence MacAulay,"MacAulay, Lawrence (Hon.)","MacAulay, Lawrence (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300021.0
MAA,Minister of Agriculture and Agri-Food,Ministre de l'Agriculture et de l'Agroalimentaire,Marie-Claude Bibeau,"Bibeau, Marie-Claude (Hon.)","Bibeau, Marie-Claude (L’hon.)",2019-03-01 10:30:01,2023-07-26 10:29:59,278321.0
MCH,Minister of Canadian Heritage,Ministre du Patrimoine canadien,Pascale St-Onge,"St-Onge, Pascale (Hon.)","St-Onge, Pascale (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300004.0
MCH,Minister of Canadian Heritage,Ministre du Patrimoine canadien,Pablo Rodriguez,"Rodriguez, Pablo (Hon.)","Rodriguez, Pablo (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278929.0
MCH,Minister of Canadian Heritage,Ministre du Patrimoine canadien,Steven Guilbeault,"Guilbeault, Steven (Hon.)","Guilbeault, Steven (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253406.0
MCR,Minister of Crown-Indigenous Relations,Ministre des Relations Couronne-Autochtones,Gary Anandasangaree,"Anandasangaree, Gary (Hon.)","Anandasangaree, Gary (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,299998.0
MCR,Minister of Crown-Indigenous Relations,Ministre des Relations Couronne-Autochtones,Marc Miller,"Miller, Marc (Hon.)","Miller, Marc (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278922.0
MCR,Minister of Crown-Indigenous Relations,Ministre des Relations Couronne-Autochtones,Carolyn Bennett,"Bennett, Carolyn (Hon.)","Bennett, Carolyn (L’hon.)",2017-08-28 13:12:00,2021-10-26 10:29:59,233806.0
MCS,Minister of Citizens’ Services,Ministre des services aux citoyens,Terry Beech,"Beech, Terry (Hon.)","Beech, Terry (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300037.0
MDG,Minister of Digital Government,Ministre du Gouvernement numérique,Joyce Murray,"Murray, Joyce (Hon.)","Murray, Joyce (L’hon.)",2019-03-18 00:00:00,2021-10-26 10:29:59,246417.0
MDIPD,"Minister of Diversity, Inclusion and Persons with Disabilities","Ministre de la diversité, de l’inclusion et des personnes en situation de handicap",Kamal Khera,"Khera, Kamal (Hon.)","Khera, Kamal (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300016.0
MDIY,Minister of Diversity and Inclusion and Youth,Ministre de la Diversité et de l’Inclusion et de la Jeunesse,Bardish Chagger,"Chagger, Bardish (Hon.)","Chagger, Bardish (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253404.0
MECC,Minister of Environment and Climate Change,Ministre de l'Environnement et du Changement climatique,Steven Guilbeault,"Guilbeault, Steven (Hon.)","Guilbeault, Steven (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278910.0
MECC,Minister of Environment and Climate Change,Ministre de l'Environnement et du Changement climatique,Jonathan Wilkinson,"Wilkinson, Jonathan (Hon.)","Wilkinson, Jonathan (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253376.0
MED,Minister of Economic Development,Ministre du Développement économique,Mélanie Joly,"Joly, Mélanie (Hon.)","Joly, Mélanie (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253380.0
MENR,Minister of Energy and Natural Resources,Ministre de l’énergie et des ressources naturelles,Jonathan Wilkinson,"Wilkinson, Jonathan (Hon.)","Wilkinson, Jonathan (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,299995.0
MEP,Minister of Emergency Preparedness,Ministre de la protection civile,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300020.0
MEP,Minister of Emergency Preparedness,Ministre de la protection civile,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278903.0
MEPITED,"Minister of Export Promotion, International Trade and Economic Development","Ministre de la promotion des exportations, du commerce international et du développement économique",Mary Ng,"Ng, Mary (Hon.)","Ng, Mary (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300023.0
MEWDDI,"Minister of Employment, Workforce Development and Disability Inclusion","Ministre de l’Emploi, du Développement de la main-d’œuvre et de l'Inclusion des personnes handicapées",Carla Qualtrough,"Qualtrough, Carla (Hon.)","Qualtrough, Carla (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278928.0
MEWDDI,"Minister of Employment, Workforce Development and Disability Inclusion","Ministre de l’Emploi, du Développement de la main-d’œuvre et de l'Inclusion des personnes handicapées",Carla Qualtrough,"Qualtrough, Carla (Hon.)","Qualtrough, Carla (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253403.0
MEWDOL,"Minister of Employment, Workforce Development and Official Languages","Ministre de l’emploi, du développement de la main-d’œuvre et des langues officielles",Randy Boissonnault,"Boissonnault, Randy (Hon.)","Boissonnault, Randy (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300005.0
MF,Minister of Finance,Ministre des Finances,Chrystia Freeland,"Freeland, Chrystia (Hon.)","Freeland, Chrystia (L’hon.)",2020-08-18 15:00:00,2100-01-01 00:00:00,278943.0
MF,Minister of Finance,Ministre des Finances,Bill Morneau,"Morneau, Bill (Hon.)","Morneau, Bill (L’hon.)",2015-11-04 10:45:00,2020-08-17 23:59:59,214320.0
MFA,Minister of Foreign Affairs,Ministre des Affaires étrangères,Mélanie Joly,"Joly, Mélanie (Hon.)","Joly, Mélanie (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278918.0
MFA,Minister of Foreign Affairs,Ministre des Affaires étrangères,Marc Garneau,"Garneau, Marc (Hon.)","Garneau, Marc (L’hon.)",2021-01-12 00:00:00,2021-10-26 10:29:59,271244.0
MFA,Minister of Foreign Affairs,Ministre des Affaires étrangères,François-Philippe Champagne,"Champagne, François-Philippe (Hon.)","Champagne, François-Philippe (L’hon.)",2019-11-20 15:00:00,2021-01-11 23:59:59,253367.0
MFCSD,"Minister of Families, Children and Social Development","Ministre de la Famille, des Enfants et du Développement social",Jenna Sudds,"Sudds, Jenna (Hon.)","Sudds, Jenna (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300002.0
MFCSD,"Minister of Families, Children and Social Development","Ministre de la Famille, des Enfants et du Développement social",Karina Gould,"Gould, Karina (Hon.)","Gould, Karina (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278909.0
MFCSD,"Minister of Families, Children and Social Development","Ministre de la Famille, des Enfants et du Développement social",Ahmed Hussen,"Hussen, Ahmed (Hon.)","Hussen, Ahmed (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253372.0
MFOCCG,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Ministre des Pêches, des Océans et de la Garde côtière canadienne",Diane Lebouthillier,"Lebouthillier, Diane (Hon.)","Lebouthillier, Diane (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300019.0
MFOCCG,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Ministre des Pêches, des Océans et de la Garde côtière canadienne",Joyce Murray,"Murray, Joyce (Hon.)","Murray, Joyce (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278923.0
MFOCCG,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Ministre des Pêches, des Océans et de la Garde côtière canadienne",Bernadette Jordan,"Jordan, Bernadette (Hon.)","Jordan, Bernadette (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253373.0
MH,Minister of Health,Ministre de la Santé,Mark Holland,"Holland, Mark (Hon.)","Holland, Mark (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300010.0
MH,Minister of Health,Ministre de la Santé,Jean-Yves Duclos,"Duclos, Jean-Yves (Hon.)","Duclos, Jean-Yves (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278906.0
MH,Minister of Health,Ministre de la Santé,Patty Hajdu,"Hajdu, Patty (Hon.)","Hajdu, Patty (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253395.0
MHDI,Minister of Housing and Diversity and Inclusion,Ministre du logement et de la diversité et de l’inclusion,Ahmed Hussen,"Hussen, Ahmed (Hon.)","Hussen, Ahmed (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278914.0
MHIC,"Minister of Housing, Infrastructure and Communities","Ministre du logement, de l’infrastructure et des collectivités",Sean Fraser,"Fraser, Sean (Hon.)","Fraser, Sean (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300008.0
MIA,Minister of Intergovernmental Affairs,Ministre des Affaires intergouvernementales,Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2020-08-18 15:00:00,2021-10-26 10:29:59,263834.0
MIA,Minister of Intergovernmental Affairs,Ministre des Affaires intergouvernementales,Chrystia Freeland,"Freeland, Chrystia (Hon.)","Freeland, Chrystia (L’hon.)",2019-11-20 15:00:00,2020-08-18 14:59:59,253365.0
MIAIC,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Ministre des affaires intergouvernementales, de l’infrastructure et des collectivités",Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278920.0
MIC,Minister of Infrastructure and Communities,Ministre de l'Infrastructure et des Collectivités,Catherine McKenna,"McKenna, Catherine (Hon.)","McKenna, Catherine (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253366.0
MID,Minister of International Development,Ministre du Développement international,Ahmed Hussen,"Hussen, Ahmed (Hon.)","Hussen, Ahmed (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300012.0
MID,Minister of International Development,Ministre du Développement international,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278950.0
MID,Minister of International Development,Ministre du Développement international,Karina Gould,"Gould, Karina (Hon.)","Gould, Karina (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253393.0
MIRC,"Minister of Immigration, Refugees and Citizenship","Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",Marc Miller,"Miller, Marc (Hon.)","Miller, Marc (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300022.0
MIRC,"Minister of Immigration, Refugees and Citizenship","Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",Sean Fraser,"Fraser, Sean (Hon.)","Fraser, Sean (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278908.0
MIRC,"Minister of Immigration, Refugees and Citizenship","Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",Marco Mendicino,"Mendicino, Marco (Hon.)","Mendicino, Marco (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253396.0
MIS,Minister of Indigenous Services,Ministre des Services aux Autochtones,Patty Hajdu,"Hajdu, Patty (Hon.)","Hajdu, Patty (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278911.0
MIS,Minister of Indigenous Services,Ministre des Services aux Autochtones,Marc Miller,"Miller, Marc (Hon.)","Miller, Marc (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253378.0
